HEALTH SERVICES REVENUE MODEL - MY BAMBU
"Customer Price: $9.99/month | My Bambu Net Revenue: $2.50/month | 600,000 Total Customers"

CUSTOMER SEGMENTATION
Segment,Total Customers,% of Base,Activity Level,Target Conversion,Target Users,CAC,Monthly Churn,Avg Lifetime (mo),LTV,LTV:CAC Ratio
Always Active,112000,18.67%,Monthly transactions,10%,11200,$3,5%,20,$50,16.7:1
Dormant,268000,44.67%,Had transactions - now inactive,5%,13400,$7,6%,16.7,$42,6.0:1
Inactive,220000,36.67%,Never transacted,2.5%,5500,$12,7%,14.3,$36,3.0:1
TOTAL,600000,100%,-,5.02%,30100,$6.64,6%,16.7,$42,6.3:1

,,,,,,,,,,
REALISTIC SCENARIO - 12 MONTH PROJECTION,,,,,,,,,,
Month,Always Active Users,Dormant Users,Inactive Users,Total Users,Churned,Net New,MRR (@ $2.50),ARR,Cumulative Revenue,Notes
1,950,1120,460,2530,0,2530,"$6,325","$75,900","$6,325",Launch month
2,1853,2166,888,4907,152,2377,"$12,268","$147,210","$18,593",Rapid growth
3,2712,3141,1284,7137,294,2230,"$17,843","$214,110","$36,436",Q1 Complete
4,3528,4054,1650,9232,451,2095,"$23,080","$276,960","$59,516",
5,4304,4910,1988,11202,590,1970,"$28,005","$336,060","$87,521",
6,5043,5715,2300,13058,735,1856,"$32,645","$391,740","$120,166",Q2 Complete - Halfway
7,5591,6288,2519,14398,884,1340,"$35,995","$431,940","$156,161",
8,6062,6782,2702,15546,1011,1148,"$38,865","$466,380","$195,026",
9,6459,7201,2853,16513,1101,967,"$41,283","$495,390","$236,309",Q3 Complete
10,6787,7552,2975,17314,1183,801,"$43,285","$519,420","$279,594",
11,7053,7842,3073,17968,1253,654,"$44,920","$539,040","$324,514",
12,7263,8079,3150,18492,1318,524,"$46,230","$554,760","$370,744",YEAR 1 COMPLETE

,,,,,,,,,,
MONTHS 13-18 PROJECTION,,,,,,,,,,
Month,Always Active Users,Dormant Users,Inactive Users,Total Users,Churned,Net New,MRR (@ $2.50),ARR,Cumulative Revenue,Notes
13,7421,8254,3206,18881,1378,389,"$47,203","$566,430","$417,947",
14,7556,8404,3253,19213,1421,332,"$48,033","$576,390","$465,980",
15,7671,8533,3292,19496,1456,283,"$48,740","$584,880","$514,720",
16,7768,8643,3324,19735,1482,239,"$49,338","$592,050","$564,058",
17,7849,8736,3350,19935,1501,200,"$49,838","$598,050","$613,896",
18,7915,8814,3371,20100,1513,165,"$50,250","$603,000","$664,146",18-MONTH MARK

,,,,,,,,,,
SCENARIO COMPARISON - MONTH 12,,,,,,,,,,
Metric,Conservative,Realistic,Optimistic,Notes,,,,,
Total Users,"12,150","18,492","26,547",Realistic = 62% of 5% target,,,,,
